file_path,run_id,probabilistic,q,c,accuracy
checkpoints\associative_recall_eeklchyw_random_q100_c16.npy,eeklchyw,random,100,16,0.4375
checkpoints\associative_recall_xj25akki_random_q100_c18.npy,xj25akki,random,100,18,0.2777778
checkpoints\associative_recall_jad814n7_random_q100_c20.npy,jad814n7,random,100,20,0.25
checkpoints\associative_recall_xmt1bijl_single_seed_q1_c8.npy,xmt1bijl,single_seed,1,8,1.0
checkpoints\associative_recall_9s8remqt_single_seed_q1_c10.npy,9s8remqt,single_seed,1,10,1.0
checkpoints\associative_recall_swey6mwp_single_seed_q1_c12.npy,swey6mwp,single_seed,1,12,1.0
checkpoints\associative_recall_e7x1587q_single_seed_q1_c14.npy,e7x1587q,single_seed,1,14,0.71428573
checkpoints\associative_recall_2uv3ssbd_single_seed_q1_c16.npy,2uv3ssbd,single_seed,1,16,0.75
checkpoints\associative_recall_argk62o0_single_seed_q1_c18.npy,argk62o0,single_seed,1,18,0.7222222
checkpoints\associative_recall_20a3lex8_single_seed_q1_c20.npy,20a3lex8,single_seed,1,20,0.65
checkpoints\associative_recall_3emjtz9u_single_seed_q16_c8.npy,3emjtz9u,single_seed,16,8,1.0
checkpoints\associative_recall_myg7b20j_single_seed_q16_c10.npy,myg7b20j,single_seed,16,10,1.0
checkpoints\associative_recall_ci78c0kp_single_seed_q16_c12.npy,ci78c0kp,single_seed,16,12,1.0
checkpoints\associative_recall_wf5lrb37_single_seed_q16_c14.npy,wf5lrb37,single_seed,16,14,0.78571427
checkpoints\associative_recall_yaxctu6s_single_seed_q16_c16.npy,yaxctu6s,single_seed,16,16,0.25
checkpoints\associative_recall_3j99hcko_single_seed_q16_c18.npy,3j99hcko,single_seed,16,18,0.44444445
checkpoints\associative_recall_z3oi1h7l_single_seed_q16_c20.npy,z3oi1h7l,single_seed,16,20,0.4
checkpoints\associative_recall_a3kbatm0_single_seed_q32_c8.npy,a3kbatm0,single_seed,32,8,1.0
checkpoints\associative_recall_u3a8hbkl_single_seed_q32_c10.npy,u3a8hbkl,single_seed,32,10,1.0
checkpoints\associative_recall_hor7f7am_single_seed_q32_c12.npy,hor7f7am,single_seed,32,12,1.0
checkpoints\associative_recall_opg9jzps_single_seed_q32_c14.npy,opg9jzps,single_seed,32,14,0.5
checkpoints\associative_recall_mfjny5ck_single_seed_q32_c16.npy,mfjny5ck,single_seed,32,16,0.6875
checkpoints\associative_recall_wdyl64ns_single_seed_q32_c18.npy,wdyl64ns,single_seed,32,18,0.22222222
checkpoints\associative_recall_xez4s1q8_single_seed_q32_c20.npy,xez4s1q8,single_seed,32,20,0.2
checkpoints\associative_recall_wb2a3rk8_single_seed_q100_c8.npy,wb2a3rk8,single_seed,100,8,1.0
checkpoints\associative_recall_oaqkmwwv_single_seed_q100_c10.npy,oaqkmwwv,single_seed,100,10,1.0
checkpoints\associative_recall_nr76il49_single_seed_q100_c12.npy,nr76il49,single_seed,100,12,0.75
checkpoints\associative_recall_ructvq4e_single_seed_q100_c14.npy,ructvq4e,single_seed,100,14,0.85714287
checkpoints\associative_recall_l83uw6r1_single_seed_q100_c16.npy,l83uw6r1,single_seed,100,16,0.625
checkpoints\associative_recall_v6d0q3yk_single_seed_q100_c18.npy,v6d0q3yk,single_seed,100,18,0.2777778
checkpoints\associative_recall_m5b2cy5x_single_seed_q100_c20.npy,m5b2cy5x,single_seed,100,20,0.25
